oa11cd,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00004157,1,2,3,3,6,8,1,7,7,6,4,1,3,2,0,2,2,2,3,1,1,0,2,3,1,1,6,3,4,3,2,7,3,9,1,5,6,5,3,6,11,6,5,4,5,8,6,5,3,3,5,5,4,2,5,4,4,2,1,1,3,1,0,4,1,3,3,2,5,3,4,9,2,0,0,1,1,1,3,1,2,0,3,1,2,0,0,1,1,0,0
E00004159,6,7,7,6,5,7,10,5,10,8,6,13,8,9,13,11,7,8,7,3,7,5,9,9,7,7,5,11,11,7,6,10,5,6,4,6,4,6,4,4,7,6,6,10,7,5,10,5,7,13,3,7,5,7,5,6,2,6,1,11,6,10,5,3,3,1,1,0,2,0,2,0,0,3,5,2,2,0,2,1,1,2,2,0,3,2,3,2,1,3,2
E00004160,5,2,3,3,1,1,3,3,2,0,10,1,5,3,4,2,5,2,0,8,4,1,5,2,1,2,7,5,4,4,2,3,2,2,3,1,2,2,1,2,2,2,5,0,4,2,1,3,4,5,2,6,3,2,4,3,4,4,1,4,2,3,2,1,3,3,1,1,1,0,5,3,3,4,2,3,4,3,4,2,5,0,4,6,1,3,0,0,4,1,3
E00004164,3,2,2,8,3,3,7,6,4,8,3,9,10,11,16,7,7,5,5,2,2,3,0,5,6,6,5,7,1,5,12,4,8,6,5,6,4,5,7,3,6,5,8,2,3,3,9,5,9,7,5,6,2,9,5,3,5,6,6,5,6,3,1,5,6,5,4,3,5,1,4,4,3,3,0,1,1,3,3,0,4,2,1,1,1,1,0,0,2,3,3
E00004167,1,3,4,8,9,4,3,7,3,12,8,2,5,5,5,6,5,0,6,2,0,0,1,2,2,1,1,5,3,3,1,2,4,1,2,1,2,3,3,2,8,4,1,6,6,4,4,2,5,6,4,8,6,4,5,7,5,3,2,3,4,4,2,2,6,1,3,7,0,2,3,6,2,3,7,4,3,1,2,1,5,1,3,1,2,0,2,0,0,0,9
E00004122,3,8,4,2,10,8,4,6,1,7,5,7,0,3,4,2,2,4,2,2,3,2,2,0,1,4,2,0,4,5,5,3,6,3,7,9,4,10,6,4,5,5,1,6,2,10,3,5,1,1,13,2,5,6,6,2,2,2,0,3,3,1,1,2,6,1,0,0,3,2,3,2,0,5,0,1,3,0,0,1,2,0,0,2,4,0,4,0,0,0,4
E00004123,5,2,2,3,5,8,7,3,6,6,7,6,3,5,7,3,1,3,0,3,4,3,5,0,4,5,3,8,3,3,4,8,5,1,4,7,6,1,5,5,3,4,7,7,7,6,3,7,6,1,6,5,2,1,3,3,5,5,3,2,1,5,6,3,7,3,4,1,1,3,2,2,3,6,1,1,5,0,1,2,0,1,2,2,0,0,0,0,2,1,13
E00004163,4,8,5,10,12,5,6,10,5,5,2,5,6,5,2,9,6,4,6,6,4,5,4,7,5,6,9,6,13,6,8,9,7,9,7,10,11,10,9,10,9,5,9,6,4,3,11,7,6,5,5,4,8,11,6,6,3,4,1,4,3,1,0,3,1,1,3,3,2,1,2,7,5,0,3,2,4,3,0,0,0,1,0,2,3,2,1,2,4,4,3
E00004165,5,2,4,9,6,5,3,4,4,3,5,8,5,6,3,4,7,6,7,4,6,7,8,8,5,9,10,10,9,7,7,5,10,11,2,6,8,3,3,3,2,2,5,3,2,5,12,7,8,12,9,6,9,6,8,4,3,5,1,3,3,10,4,2,3,6,2,2,0,4,2,7,6,3,6,1,1,5,6,5,0,5,2,0,1,1,0,2,1,3,2
E00004166,2,1,4,4,8,6,5,5,9,4,8,8,9,9,16,9,10,15,6,7,5,1,6,5,6,6,9,10,3,10,6,7,4,5,6,9,9,6,5,6,9,3,6,10,5,14,14,1,4,6,5,9,5,9,9,5,4,7,3,5,7,4,5,3,2,5,1,3,1,4,4,2,4,3,3,1,1,2,4,2,1,1,2,1,1,2,0,2,2,0,4
